word,count,journal,in_that_journal
Protestantism,4,Medical care,1
Retinoscopy,4,Investigative ophthalmology & visual science,1
Soman,4,Biochimica et biophysica acta,2
Mephenytoin,4,American journal of human genetics,1
"Leishmaniasis, Mucocutaneous",4,The American journal of tropical medicine and hygiene,1
Pyruvate Decarboxylase,4,No to hattatsu. Brain and development,1
Jaw Diseases,4,Anticancer research,1
Coiled Bodies,4,Biochimica et biophysica acta,1
Activated-Leukocyte Cell Adhesion Molecule,4,The Journal of biological chemistry,1
Fetal Viability,4,Nature genetics,1
Krukenberg Tumor,4,Ugeskrift for laeger,1
Opiate Substitution Treatment,4,Journal of addiction medicine,2
"Matrix Metalloproteinases, Secreted",4,The Journal of biological chemistry,1
Lyme Neuroborreliosis,4,Medycyna wieku rozwojowego,1
HLA-DR7 Antigen,4,The Journal of general virology,1
Proto-Oncogene Proteins c-yes,4,Molecular cell,1
Headache Disorders,4,British journal of anaesthesia,1
Allylamine,4,The Journal of pediatrics,1
Soy Foods,4,The American journal of clinical nutrition,1
Harvey murine sarcoma virus,4,Experimental cell research,1
Streptococcal Vaccines,4,Infection and immunity,2
Sphygmomanometers,4,Indian journal of physiology and pharmacology,2
Follicular Cyst,4,The American Journal of dermatopathology,2
Blood-Air Barrier,4,American journal of physiology. Lung cellular and molecular physiology,1
Angiogenic Proteins,4,Molecular cancer,1
Dimethylphenylpiperazinium Iodide,4,Life sciences,2
"Synovitis, Pigmented Villonodular",4,Clinical orthopaedics and related research,3
Methylmalonyl-CoA Mutase,4,FEMS microbiology letters,1
"Chromosomes, Human, 19-20",4,Blood,1
CDPdiacylglycerol-Serine O-Phosphatidyltransferase,4,Nature cell biology,1
Sigmoidoscopes,4,The Journal of pediatrics,1
Cyclic S-Oxides,4,Diabetes,1
Sexual Abstinence,4,Fertility and sterility,1
American Dental Association,4,Journal of dental education,1
Adenolymphoma,4,The Laryngoscope,2
Polydnaviridae,4,The Journal of general virology,2
Dentin Permeability,4,Journal of dental research,2
Osmium Tetroxide,4,Organic letters,1
Sclerostomy,4,Ophthalmology,2
Acetobacteraceae,4,International journal of systematic and evolutionary microbiology,2
Lacquer,4,Journal of the American Academy of Dermatology,1
Smear Layer,4,Operative dentistry,3
Root Canal Irrigants,4,"Compendium of continuing education in dentistry (Jamesburg, N.J. : 1995)",1
Cosmic Radiation,4,Radiation research,2
Lower Urinary Tract Symptoms,4,Urology,3
Onychomycosis,4,Journal of nanoscience and nanotechnology,1
Space Simulation,4,Aviakosmicheskaia i ekologicheskaia meditsina = Aerospace and environmental medicine,3
"Clonal Selection, Antigen-Mediated",4,"Journal of immunology (Baltimore, Md. : 1950)",1
Uridine Diphosphate Glucose Dehydrogenase,4,Journal of bacteriology,1
Spectinomycin,4,The New England journal of medicine,1
Ciliophora Infections,4,Diseases of aquatic organisms,1
Blepharitis,4,American journal of ophthalmology,2
Tooth Remineralization,4,Journal of dental research,2
"Genes, T-Cell Receptor",4,"Journal of immunology (Baltimore, Md. : 1950)",2
Respiratory Rate,4,Masui. The Japanese journal of anesthesiology,1
Tooth Germ,4,Journal of dental research,3
Pneumoradiography,4,Clinical radiology,1
Alcohol Amnestic Disorder,4,"Journal of neurology, neurosurgery, and psychiatry",2
Zygomycosis,4,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2
"Extraction, Obstetrical",4,Obstetrics and gynecology,1
Dyspareunia,4,American journal of obstetrics and gynecology,1
Thecoma,4,American journal of obstetrics and gynecology,1
Acupuncture,4,Zhongguo zhen jiu = Chinese acupuncture & moxibustion,3
Phthiraptera,4,"Science (New York, N.Y.)",1
"Physicians, Primary Care",4,"Families, systems & health : the journal of collaborative family healthcare",1
Perphenazine,4,Endocrinology,1
Cycloaddition Reaction,4,"Chemistry (Weinheim an der Bergstrasse, Germany)",2
Northern Territory,4,Lancet,1
Deoxyribodipyrimidine Photo-Lyase,4,Biochimica et biophysica acta,1
African horse sickness virus,4,The Journal of general virology,2
Oxypurinol,4,"Clinical science (London, England : 1979)",1
Glycyrrhiza,4,The American surgeon,1
Portraits as Topic,4,B-ENT,1
"Receptors, Pituitary Hormone",4,Endocrinology,2
"Contraceptive Agents, Male",4,The Journal of steroid biochemistry and molecular biology,1
MAP Kinase Kinase 7,4,The Journal of biological chemistry,2
Cicer,4,Journal of economic entomology,1
Australasia,4,The American journal of tropical medicine and hygiene,1
"Gene Rearrangement, alpha-Chain T-Cell Antigen Receptor",4,"Journal of immunology (Baltimore, Md. : 1950)",2
Interferon-gamma Release Tests,4,BMC infectious diseases,1
Myelin and Lymphocyte-Associated Proteolipid Proteins,4,Biochemical and biophysical research communications,1
rab4 GTP-Binding Proteins,4,The EMBO journal,1
Volcanic Eruptions,4,Annals of epidemiology,1
Complement C7,4,"Journal of immunology (Baltimore, Md. : 1950)",2
Personal Health Services,4,Medical care,1
"Ancillary Services, Hospital",4,Healthcare financial management : journal of the Healthcare Financial Management Association,2
Ginger,4,Journal of food protection,2
Rocky Mountain Spotted Fever,4,The American journal of tropical medicine and hygiene,1
Self-Curing of Dental Resins,4,The European journal of prosthodontics and restorative dentistry,1
Delavirdine,4,GMHC treatment issues : the Gay Men's Health Crisis newsletter of experimental AIDS therapies,1
Heat Stroke,4,Critical care medicine,1
Canavanine,4,American journal of respiratory and critical care medicine,1
Paternal Exposure,4,British journal of cancer,2
Orientia tsutsugamushi,4,The American journal of tropical medicine and hygiene,3
Georgia (Republic),4,"Science (New York, N.Y.)",1
Ethical Analysis,4,The American journal of bioethics : AJOB,3
Biological Dressings,4,Cornea,1
Testicular Hormones,4,Annales d'urologie,1
"Herpesvirus 7, Human",4,Rinsho byori. The Japanese journal of clinical pathology,1
"Joint Deformities, Acquired",4,Acta orthopaedica Belgica,2
"Spectrometry, Mass, Secondary Ion",4,Journal of microbiological methods,2
Factor IXa,4,Blood,2
Activation Analysis,4,The American journal of clinical nutrition,2
Unified Medical Language System,4,Studies in health technology and informatics,3
gamma-Glutamyl Hydrolase,4,Cancer,1
"Pemphigoid, Benign Mucous Membrane",4,Ophthalmology,2
Desmoglein 2,4,Experimental cell research,1
Circadian Rhythm Signaling Peptides and Proteins,4,Applied and environmental microbiology,1
Medical Waste,4,Chemosphere,1
Octamer Transcription Factor-2,4,The FEBS journal,1
HEPES,4,Archives of virology,1
Telomeric Repeat Binding Protein 2,4,The EMBO journal,1
"Amino Acids, Aromatic",4,Biochemistry,2
Purinergic Antagonists,4,The American journal of physiology,1
Ficus,4,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",1
Gastroplasty,4,American journal of surgery,1
"Leukodystrophy, Metachromatic",4,Clinical chemistry,1
"Lupus Erythematosus, Discoid",4,The American Journal of dermatopathology,1
Blue Cross Blue Shield Insurance Plans,4,North Carolina medical journal,1
High-Frequency Jet Ventilation,4,Anesteziologiia i reanimatologiia,1
Retrognathia,4,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",3
Mandibulofacial Dysostosis,4,Human genetics,1
Methanobacterium,4,Journal of bacteriology,2
Brucella melitensis,4,Journal of bacteriology,2
Americium,4,Environmental science & technology,2
Central America,4,Molecular phylogenetics and evolution,2
Leghemoglobin,4,Molekuliarnaia biologiia,1
Hydroxymercuribenzoates,4,The Journal of biological chemistry,2
Dental Equipment,4,The European journal of prosthodontics and restorative dentistry,1
Mandibular Nerve,4,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,2
Loxapine,4,Advances in experimental medicine and biology,1
Dirofilaria,4,Journal of wildlife diseases,1
Cacodylic Acid,4,Toxicology letters,2
"Hyperostosis, Diffuse Idiopathic Skeletal",4,Journal of neurosurgery,2
Nafcillin,4,Lancet,1
Musculoskeletal Physiological Phenomena,4,Sports biomechanics / International Society of Biomechanics in Sports,1
Individuation,4,The Psychoanalytic quarterly,3
Vestibular Aqueduct,4,The Laryngoscope,2
Chronobiology Phenomena,4,The Laryngoscope,1
Carbaryl,4,Bulletin of environmental contamination and toxicology,1
Phytoplasma,4,Proceedings of the National Academy of Sciences of the United States of America,1
Group Homes,4,Child welfare,1
Cell Migration Assays,4,Journal of vascular surgery,1
Microsporida,4,Journal of the Medical Association of Thailand = Chotmaihet thangphaet,1
Qc-SNARE Proteins,4,Molecular and cellular biology,1
Dental Calculus,4,Swedish dental journal,1
Cytophaga,4,Applied and environmental microbiology,2
Eyelashes,4,American journal of ophthalmology,2
Primitive Streak,4,Developmental biology,2
Therapeutics,4,The New England journal of medicine,2
Trichostrongyloidea,4,Parasite immunology,2
Alpha-Amanitin,4,Proceedings of the National Academy of Sciences of the United States of America,1
Claudin-4,4,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,1
Hagfishes,4,The American journal of physiology,1
GA-Binding Protein Transcription Factor,4,The Journal of biological chemistry,3
Mycoplasma mycoides,4,Biochimica et biophysica acta,1
Psychotherapeutic Processes,4,Psychiatry research,1
Sulfanilic Acids,4,Organic letters,1
Polynucleotide 5'-Hydroxyl-Kinase,4,Biochemistry,2
COUP Transcription Factors,4,Molecular and cellular biology,1
Pulmonary Veno-Occlusive Disease,4,Thorax,1
Endarteritis,4,Thorax,1
Collectins,4,Biochimica et biophysica acta,1
"Education, Public Health Professional",4,"Public health reports (Washington, D.C. : 1974)",1
Caliciviridae,4,The Journal of infectious diseases,1
Larva Migrans,4,Experimental parasitology,1
Thiadiazines,4,Environmental and molecular mutagenesis,1
Tauopathies,4,Journal of neurochemistry,1
Neurofibromatosis 2,4,Journal of neurosurgery,1
Activating Transcription Factor 6,4,The Journal of biological chemistry,2
Placentation,4,Reproductive biology and endocrinology : RB&E,1
Respiratory Tract Neoplasms,4,Bulletin du cancer,1
Guaifenesin,4,Arzneimittel-Forschung,1
Peliosis Hepatis,4,Ugeskrift for laeger,1
Laboratory Infection,4,MLO: medical laboratory observer,1
Water Quality,4,Environmental science & technology,2
Inhibitory Postsynaptic Potentials,4,The Journal of neuroscience : the official journal of the Society for Neuroscience,3
CARD Signaling Adaptor Proteins,4,The Journal of biological chemistry,2
S Phase Cell Cycle Checkpoints,4,BMC genetics,1
Honduras,4,International journal of cancer. Journal international du cancer,1
Visitors to Patients,4,"Dynamics (Pembroke, Ont.)",1
Cyprinodontiformes,4,Environmental science & technology,1
Nicaragua,4,Molecular ecology,1
"Viruses, Unclassified",4,Lancet,1
Wolves,4,"Science (New York, N.Y.)",1
Phosphotungstic Acid,4,Journal of virology,2
Spinal Curvatures,4,Studies in health technology and informatics,1
Facial Neuralgia,4,Meditsinskaia tekhnika,1
Sorbic Acid,4,Archives of animal nutrition,1
Exfoliatins,4,Journal of general microbiology,1
Halomonas,4,FEMS microbiology ecology,1
Spectral Karyotyping,4,Cancer genetics and cytogenetics,2
Anastomotic Leak,4,American journal of surgery,2
Embolectomy,4,European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery,1
Genetic Enhancement,4,Applied and environmental microbiology,1
Pterygoid Muscles,4,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,1
Maneb,4,Journal of analytical toxicology,1
Desmoglein 3,4,Clinical and experimental immunology,1
Acting Out,4,Adolescence,2
Oxaloacetic Acid,4,Biochemistry,1
Large-Conductance Calcium-Activated Potassium Channel beta Subunits,4,BMC genomics,1
Nostoc,4,Biochemistry,2
Phenacetin,4,Chemico-biological interactions,1
Hereditary Sensory and Autonomic Neuropathies,4,Neurologia i neurochirurgia polska,1
Lagomorpha,4,Meditsinskaia parazitologiia i parazitarnye bolezni,1
"Catechol 2,3-Dioxygenase",4,Environmental science and pollution research international,1
Procollagen N-Endopeptidase,4,Investigative ophthalmology & visual science,1
"Cesarean Section, Repeat",4,JSLS : Journal of the Society of Laparoendoscopic Surgeons / Society of Laparoendoscopic Surgeons,1
Building Codes,4,Health physics,3
Central Serous Chorioretinopathy,4,Japanese journal of ophthalmology,1
Respite Care,4,British journal of nursing (Mark Allen Publishing),1
"Typhus, Endemic Flea-Borne",4,The Southeast Asian journal of tropical medicine and public health,1
Xiphoid Bone,4,JSLS : Journal of the Society of Laparoendoscopic Surgeons / Society of Laparoendoscopic Surgeons,1
Cartilage Oligomeric Matrix Protein,4,Annals of the rheumatic diseases,2
Aurintricarboxylic Acid,4,Experimental cell research,1
"Anxiety, Separation",4,Child welfare,1
Azirines,4,Biochemistry,2
Svalbard,4,FEMS microbiology ecology,2
Ethanolamine Ammonia-Lyase,4,The Journal of biological chemistry,2
Prescription Fees,4,"Revista alergia Mexico (Tecamachalco, Puebla, Mexico : 1993)",1
"Receptors, Ghrelin",4,American journal of physiology. Heart and circulatory physiology,1
Photopheresis,4,Transfusion,1
Chemokine CXCL11,4,The Journal of biological chemistry,1
Trigonella,4,The Journal of the Association of Physicians of India,1
After-Hours Care,4,Hospitals & health networks / AHA,1
"Amplifiers, Electronic",4,Journal of microscopy,1
"Pathology Department, Hospital",4,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,1
"3,3'-Diaminobenzidine",4,The Biochemical journal,1
Chemokine CCL20,4,"Journal of immunology (Baltimore, Md. : 1950)",2
Crk-Associated Substrate Protein,4,Endocrinology,1
Corneal Wavefront Aberration,4,Ophthalmology,1
Adrenergic beta-3 Receptor Agonists,4,Molecular pharmacology,1
Diagnostic Services,4,Journal of clinical microbiology,1
Gastric Stump,4,Tumori,1
Diazomethane,4,Journal of medicinal chemistry,1
Infant Equipment,4,Annals of surgery,1
Leukocyte Migration-Inhibitory Factors,4,Orvosi hetilap,1
Leukocyte Adherence Inhibition Test,4,Orvosi hetilap,1
Staphylococcal Scalded Skin Syndrome,4,FEBS letters,1
Cytoplasmic Streaming,4,The Journal of cell biology,1
Facial Transplantation,4,Plastic and reconstructive surgery,2
Sex Workers,4,Biomedical and environmental sciences : BES,1
"Memory, Long-Term",4,The Journal of neuroscience : the official journal of the Society for Neuroscience,2
Home Health Aides,4,Ugeskrift for laeger,1
"Africa, Central",4,American journal of human genetics,1
Cerebral Aqueduct,4,Revue neurologique,1
Collateral Ligaments,4,The Journal of bone and joint surgery. British volume,1
Coral Reefs,4,Molecular ecology,1
"Receptors, Serotonin, 5-HT4",4,Journal of neurochemistry,1
"Genes, T-Cell Receptor gamma",4,The American Journal of dermatopathology,1
Intermediate-Conductance Calcium-Activated Potassium Channels,4,American journal of physiology. Gastrointestinal and liver physiology,1
